gold	Japan 's top military official earnestly revealed that the country 's Self Defense Force -LRB- SDF -RRB- had never encountered a UFO . Celebrity politician and former wrestler Antonio Inoki had posed a question concerning extraterrestrials to a government committee .								
generated	the former is the founder of new japan's new japan.				missing entity			 new japan's new japan.	just very bad
									
article	"Duhok , Iraqi Kurdistan -LRB- CNN -RRB- In the canvas expanse of the Shariya refugee camp , thousands of Yazidis live within hearing distance of one of Iraqi Kurdistan 's frontlines with ISIS . The vast majority of the camp 's occupants are from the town of Sinjar and fled the ISIS assault there back in August . But not everyone escaped . ISIS took thousands of Yazidis captive . Men faced a choice -- convert to Islam or be shot . But the Islamist militants separated the young women and girls to be sold as sex slaves . In its fourth edition of `` Dabiq , '' the ISIS online magazine , an article titled `` The revival of slavery before the hour , '' outlines the group 's twisted justification and guidelines for the enslavement of the Yazidis . `` One should remember that enslaving the families of the kuffar -LRB- infidels -RRB- and taking their women as concubines is a firmly established aspect of Shariah , '' the article reads . We 're told that women who have just given birth or are breastfeeding are considered impure and can not be taken as sexual slaves -- but Hanan , 19 , was neither of those things . `` They separated all of us , '' she says . `` They dragged us away by our hair . They took married women , young ones . The youngest with us was just 10 . We were all crying . `` They said we are going to marry you off , you will forget your family . '' ISIS : Enslaving , having sex with ` unbelieving ' women , girls is OK . For the first week , Hanan was held with 50 others , regularly beaten and threatened with torture , and fed just a bowl of rice . The group was then taken to a three story building in Mosul she described as a sex slave warehouse , where hundreds of girls and women were held . `` They would line about 50 of us up at a time , in rows of 10 . They would say do n't move , do n't cry or we will beat you . The men would come in and describe the kind of girl they wanted and then they would pick and choose as they pleased , '' she recalls . She was eventually chosen , part of a group of 25 . From that group Hanan was separated into a smaller group of seven and taken into a house in a village . ` Treated like cattle ' : Yazidi women sold , raped , enslaved by ISIS . Two ISIS fighters guarded the door and ordered the girls to clean and bathe themselves . `` They brought in a Yazidi girl who had been with them for two months . She was wearing the black niqab . They said to us we are going to do to you what we did to her , '' Hanan says . `` The girl spoke to us in Kurdish and said they beat me , they cuffed me and raped me . '' Hanan and the others decided they had to try to escape . That night they crawled out the bedroom window . `` The fourth girl jumped out , I was the fifth . I crawled to the wall and was about to jump over it and then I saw their flashlight , '' she tells me . `` They caught the last two girls . '' They ran , and somehow evaded capture . Four hours later they were out of ISIS territory . `` If I just see someone with a beard I start shaking , '' Hanan says . Now physically free but mentally still captive , Hanan remains tormented -- like so many others , by what she has been through and what those still with ISIS are being forced to endure -- a fate worse than death . Fleeing ISIS -- A Yazidi family 's tale ."								
gold	"Hanan , 19 , was captured by ISIS when militants took the town of Sinjar . She was among the women and girls separated to be sold as sex slaves ."								
generated	yazidis live in iraqi town of sinjar and fled isis in august.					should be lived instead of live			
									
article	"-LRB- CNN -RRB- Tejano star Selena , who died 20 years ago , is coming back in a big way : with a hologram-like figure . Billboard reports that the singer 's family is creating a version of the singer that will be `` walking , talking , singing and dancing digital embodiment '' of her persona . `` By no means is this something that 's creepy or weird , '' her sister , Suzette Quintanilla , told Billboard . `` We think it 's something amazing . A lot of the new fans that did not get to experience what Selena was about hopefully will be able to get a sense of her with this new technology that 's going to be coming out . '' Selena : 20 years after her death . The technology is being handled by Acrovirt LLC , a Nevada-based tech company . `` Using detailed individual personalized functions spanning the mind , brain and body , the individual 's Digitized Human Essence will autonomously learn and react on behalf of its human counterpart 's , '' the company explained . The project is being called `` Selena the One . '' Twenty years after she was killed by her fan club president , Selena remains incredibly popular , with her Facebook page recording 2 million likes and fans continuing to post videos and tributes . Selena will be the first figure to use the Acrovirt technology , Quintanilla said . `` I 'm excited at the fact that she will be the first ever , and the fact that she 's a Latina makes it even more awesome , '' she said . `` It 's not about replacing Selena in any shape , way or form ; it 's just something to help her legacy continue growing . '' The family intends to expand her legacy in another way : with some new music . Selena the One `` will release new songs and videos , will collaborate with current hit artists , and aims to go on tour in 2018 , '' said a statement on Selena 's Facebook page . Selena is n't the first performer to try the virtual route . A Michael Jackson hologram appeared at the Billboard Music Awards in 2014 , and a hologram of Tupac Shakur performed at Coachella in 2012 . But the new technology is a step forward , Quintanilla said . `` People do n't realize how fast technology is moving , '' she told Billboard . `` This is something that we 're building for another two to three years , so when 2018 comes around they 'll be like , ` Oh , OK , we get it . ' '' Fans can join an Indiegogo campaign , www.selenatheone.com , to support the launch . The campaign , which hopes to raise $ 500,000 , begins April 16 . The commemorative Fiesta de la Flor in Corpus Christi , Texas -- which celebrates her life -- is scheduled for April 17 and 18 . CNN 's Katia Hetter contributed to this story ."								
gold	"Selena Quintanilla-Perez will be re-created as hologram-like figure . The Tejano singer is first to be part of a new technology , says sister . Selena was killed 20 years ago but remains hugely popular ."								
generated	"the singer's family is ""walking, talking, singing and dancing digital embodiment"" of her persona."				"singer, not singer’s family"				
									
article	"-LRB- CNN -RRB- `` A long , long , time ago ... '' Those five words , when uttered or sung , makes baby boomers immediately think of Don McLean 's pop masterpiece `` American Pie . '' It 's hard to believe that his phenomenal 8 1/2 minute allegory , which millions of Americans know by heart , is 44 years old . All sorts of historical cross-currents play off each other in this timeless song , brilliantly gilded with the unforgettable chorus , which starts as `` Bye , Bye , Miss American Pie . '' There is no real way to categorize McLean 's `` American Pie '' for its hybrid of modern poetry and folk ballad , beer-hall chant and high-art rock . On Tuesday , Christie 's sold the 16-page handwritten manuscript of the song 's lyrics for $ 1.2 million to an unnamed buyer . McLean was a paperboy when , on February 3 , 1959 , he saw that Buddy Holly , Ritchie Valens and J.P. `` The Big Bopper '' Richardson had been tragically killed in an airplane crash in Clear Lake , Iowa . `` The next day I went to school in shock and guess what ? '' McLean recalled . `` Nobody cared . Rock 'n' roll in those days was sort of like hula hoops and Buddy had n't had a big hit on the charts since ' 57 . '' By cathartically writing `` American Pie , '' McLean has guaranteed that the memory of those great musicians lives forever . Having recorded his first album , `` Tapestry , '' in 1969 , in Berkeley , California , during the student riots , McLean , a native New Yorker , became a kind of weather vane for what he called the `` generation lost in space . '' When his cultural anthem `` American Pie '' was released in November 1971 , it replaced Bob Dylan 's `` The Times They Are A Changin '' as the Peoples Almanac of the new decade . It 's important to think of `` American Pie '' as one would of Henry Longfellow 's `` Evangeline '' or Johnny Mercer 's `` Moon River '' -- an essential Americana poem emanating wistful recollection , blues valentine , and youthful protest rolled into one . There is magic brewing in the music and words of `` American Pie , '' for McLean 's lyrics and melody frame a cosmic dream , like those Jack Kerouac tried to conjure in his poetry-infused novel `` On the Road . '' Don McLean : Buddy Holly , rest in peace . Influenced by Pete Seeger and the Weavers , McLean proudly wore the mantle of troubadour in the early 1970s , when `` American Pie '' topped the Billboard charts , and has never shed the cape . Wandering far and wide , singing `` American Pie '' at windblown dance halls in Wyoming and cloistered colleges in New England , at huge amphitheaters in California and little coffee houses in the Hudson River Valley , McLean has performed his global anthem thousands of times . Yet the encore number never loses its transfixing allure . When McLean prods audiences by rhapsodizing `` and they were singing '' everybody spontaneously joins in with the `` Bye , Bye '' chorus . Watching McLean deliver his most notable song in concert is to take part in a collective Happening . What makes `` American Pie '' so unusual is that it is n't a relic from the counterculture but a talisman , which , like a sacred river , keeps bringing joy to listeners everywhere . When `` American Pie '' suddenly is played on a jukebox or radio it 's almost impossible not to sing along . Like `` Danny Boy '' or `` Streets of Laredo '' or `` Shenandoah , '' it 's eternal . With illusions to football fields and rock 'n' roll , river levees and nursery rhymes , the song cascades along like a boat going down Niagara Falls or a roller coaster that jumps tracks but floats instead of crashes . After all these years , `` American Pie '' still makes me feel empowered and yet filled with a sense of loss . The song is alive and joyful , yet fretful about a world gone wrong . It is a song that will never die . A reverie for the ages . There is a jump to the chorus , which forces the mind to relive the '50s , '60s and '70s , to troll through the back pages of our lives while , like a traditional Irish folksong , it reminds us of fate . While McLean , the muse , has rightfully not tried to interpret `` American Pie , '' it 's fair to surmise that `` the king '' is Elvis Presley , `` Helter Skelter '' refers to the Charles Manson murders , the `` jester on the sidelines in a cast '' is Bob Dylan , and `` Jack Flash '' the Rolling Stones . But who knows ? The lyric remains a puzzle open to thousands of spirited interpretations . As a literary artifact of the early 1970s , there is n't anything to compare to `` American Pie . '' Normally , I do n't like rankings of literature or songs or even presidents , for that matter . But the fact that the Recording Industry of America and the National Endowment of the Arts chose `` American Pie '' as the fifth greatest song of the 20th century speaks to the composition 's importance as an enduring piece of pop art . The other four were `` Over the Rainbow '' -LRB- by Harold Arlen and E.Y `` Yip '' Harburg -RRB- , `` White Christmas '' -LRB- by Irving Berlin -RRB- , `` This Land is Your Land '' -LRB- by Woody Guthrie -RRB- and `` Respect '' -LRB- by Otis Redding -RRB- . That is fine company . Quite simply , `` American Pie '' is one of the greatest songs ever written . And Tuesday the original lyrics found a new home ."								
gold	"Manuscript of `` American Pie '' lyrics is sold to unnamed buyer for $ 1.2 million . Douglas Brinkley : The song , a talisman for its age , brings joy to people 44 years later ."								
generated	"the ""moon river"" was released in 1969."				1969				
									
article	"Washington -LRB- CNN -RRB- In a broad bipartisan vote , the Senate on Tuesday gave final approval to a Medicare reform bill that includes a permanent solution to the `` doc fix , '' a method the government has used to ensure payments to Medicare providers will keep up with inflation . The bill , which passed 92 to 8 , also includes a two-year extension of a popular children 's health insurance program . The issue of payments to Medicare providers has been a thorny issue for years . Senate Finance Committee Chairman Orrin Hatch of Utah called passage of the bill a `` major , major accomplishment . '' `` Tonight , the Senate is voting to retire the outdated , inefficiency-rewarding , common sense-defying Medicare reimbursement system , '' said Sen. Ron Wyden of Oregon , the top Democrat on the Finance Committee just before the final vote . The House approved the same bill overwhelmingly more than two weeks ago and President Barack Obama is expected to sign it . Senate passage came just hours before cuts to physicians would have taken place since the last temporary `` doc fix '' had already expired . Some conservative senators , including Republican presidential candidate Ted Cruz of Texas , balked at the more than $ 200 billion price of the bill and pushed an amendment to have the costs offset . The bill , `` institutionalizes and expands Obamacare policies that harm patients and their doctors while adding roughly half a trillion dollars to our long-term debt within two decades , '' Cruz said in a statement . `` Any deal should be fully paid for and include significant and structural reforms to Medicare . '' But that amendment was defeated , as were several others from each party that came up for votes . Earlier , House Speaker John Boehner of Ohio warned the Senate not to change the bill . `` Unless the Senate passes the House-passed ` doc fix , ' significant cuts to physicians ' payments will begin tomorrow , '' Boehner said . `` We urge the Senate to approve the House-passed bill without delay . '' Cruz voted against the bill , as did Sen. Marco Rubio of Florida , another Republican running for president . GOP presidential contender Sen. Rand Paul of Kentucky voted for the bill ."								
gold	"Bill passes 92 to 8 ; passage came just hours before cuts to physicians would have taken place . GOP presidential candidates Ted Cruz and Marco Rubio vote against the bill , candidate Rand Paul votes for it ."								
generated	the issue of payments to medicare has been a thorny issue for years.				medicare (medicare providers)				
									
article	"Washington -LRB- CNN -RRB- President Barack Obama says he is `` absolutely committed to making sure '' Israel maintains a military advantage over Iran . His comments to The New York Times , published on Sunday , come amid criticism from Israeli Prime Minister Benjamin Netanyahu of the deal that the United States and five other world powers struck with Iran . Tehran agreed to halt the country 's nuclear ambitions , and in exchange , Western powers would drop sanctions that have hurt the Iran 's economy . Obama said he understands and respects Netanyahu 's stance that Israel is particularly vulnerable and does n't `` have the luxury of testing these propositions '' in the deal . `` But what I would say to them is that not only am I absolutely committed to making sure they maintain their qualitative military edge , and that they can deter any potential future attacks , but what I 'm willing to do is to make the kinds of commitments that would give everybody in the neighborhood , including Iran , a clarity that if Israel were to be attacked by any state , that we would stand by them , '' Obama said . That , he said , should be `` sufficient to take advantage of this once-in-a-lifetime opportunity to see whether or not we can at least take the nuclear issue off the table , '' he said . The framework negotiators announced last week would see Iran reduce its centrifuges from 19,000 to 5,060 , limit the extent to which uranium necessary for nuclear weapons can be enriched and increase inspections . The talks over a final draft are scheduled to continue until June 30 . But Netanyahu and Republican critics in Congress have complained that Iran wo n't have to shut down its nuclear facilities and that the country 's leadership is n't trustworthy enough for the inspections to be as valuable as Obama says they are . Obama said even if Iran ca n't be trusted , there 's still a case to be made for the deal . `` In fact , you could argue that if they are implacably opposed to us , all the more reason for us to want to have a deal in which we know what they 're doing and that , for a long period of time , we can prevent them from having a nuclear weapon , '' Obama said ."								
gold	"In an interview with The New York Times , President Obama says he understands Israel feels particularly vulnerable . Obama calls the nuclear deal with Iran a `` once-in-a-lifetime opportunity '' Israeli Prime Minister Benjamin Netanyahu and many U.S. Republicans warn that Iran can not be trusted ."								
generated	"israeli prime minister benjamin netanyahu of the deal says iran reduce its centrifuges from 19,000."						of the deal		
									
article	"-LRB- CNN -RRB- If you 've been following the news lately , there are certain things you doubtless know about Mohammad Javad Zarif . He is , of course , the Iranian foreign minister . He has been U.S. Secretary of State John Kerry 's opposite number in securing a breakthrough in nuclear discussions that could lead to an end to sanctions against Iran -- if the details can be worked out in the coming weeks . And he received a hero 's welcome as he arrived in Iran on a sunny Friday morning . `` Long live Zarif , '' crowds chanted as his car rolled slowly down the packed street . You may well have read that he is `` polished '' and , unusually for one burdened with such weighty issues , `` jovial . '' An Internet search for `` Mohammad Javad Zarif '' and `` jovial '' yields thousands of results . He certainly has gone a long way to bring Iran in from the cold and allow it to rejoin the international community . But there are some facts about Zarif that are less well-known . Here are six : . In September 2013 , Zarif tweeted `` Happy Rosh Hashanah , '' referring to the Jewish New Year . That prompted Christine Pelosi , the daughter of House Minority Leader Nancy Pelosi , to respond with a tweet of her own : `` Thanks . The New Year would be even sweeter if you would end Iran 's Holocaust denial , sir . '' And , perhaps to her surprise , Pelosi got a response . `` Iran never denied it , '' Zarif tweeted back . `` The man who was perceived to be denying it is now gone . Happy New Year . '' The reference was likely to former Iranian President Mahmoud Ahmadinejad , who had left office the previous month . Zarif was nominated to be foreign minister by Ahmadinejad 's successor , Hassan Rouhami . His foreign ministry notes , perhaps defensively , that `` due to the political and security conditions of the time , he decided to continue his education in the United States . '' That is another way of saying that he was outside the country during the demonstrations against the Shah of Iran , which began in 1977 , and during the Iranian Revolution , which drove the shah from power in 1979 . Zarif left the country in 1977 , received his undergraduate degree from San Francisco State University in 1981 , his master 's in international relations from the University of Denver in 1984 and his doctorate from the University of Denver in 1988 . Both of his children were born in the United States . The website of the Iranian Foreign Ministry , which Zarif runs , can not even agree with itself on when he was born . The first sentence of his official biography , perhaps in a nod to the powers that be in Tehran , says Zarif was `` born to a religious traditional family in Tehran in 1959 . '' Later on the same page , however , his date of birth is listed as January 8 , 1960 . And the Iranian Diplomacy website says he was born in in 1961 . So he is 54 , 55 or maybe even 56 . Whichever , he is still considerably younger than his opposite number , Kerry , who is 71 . The feds investigated him over his alleged role in controlling the Alavi Foundation , a charitable organization . The U.S. Justice Department said the organization was secretly run on behalf of the Iranian government to launder money and get around U.S. sanctions . But last year , a settlement in the case , under which the foundation agreed to give a 36-story building in Manhattan along with other properties to the U.S. government , did not mention Zarif 's name . Early in the Iranian Revolution , Zarif was among the students who took over the Iranian Consulate in San Francisco . The aim , says the website Iranian.com -- which cites Zarif 's memoirs , titled `` Mr. Ambassador '' -- was to expel from the consulate people who were not sufficiently Islamic . Later , the website says , Zarif went to make a similar protest at the Iranian mission to the United Nations . In response , the Iranian ambassador to the United Nations offered him a job . In fact , he has now spent more time with Kerry than any other foreign minister in the world . And that amount of quality time will only increase as the two men , with help from other foreign ministers as well , try to meet a June 30 deadline for nailing down the details of the agreement they managed to outline this week in Switzerland ."								
gold	Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister . He once participated in a takeover of the Iranian Consulate in San Francisco . The Iranian foreign minister tweets in English .								
generated	u.s. secretary of state john kerry says the iranian foreign minister is a foreign minister.					says the iranian foreign minister is a foreign minister			
									
article	"-LRB- CNN -RRB- A nuclear submarine being repaired at a Russian shipyard has caught on fire , according to a law enforcement source speaking to Russia 's state-run news agency ITAR-Tass . `` The submarine is in a dry dock , '' Tass reports , citing the source , and there is no ammunition on board . `` The rubber insulation between the submarine 's light and pressure hull is on fire , '' Tass reported . Russia 's RIA Novosti news agency says insulation caught on fire as welding work was being done on the submarine . Tass reported that the fire began on a sub in the Zvyozdochka shipyard in northwestern Russia . Zvyozdochka spokesman Yevgeny Gladyshev told the news agency that the sub had been undergoing repairs since November 2013 . `` Nuclear fuel from the sub 's reactor has been unloaded , '' he reportedly said . `` There are no armaments or chemically active , dangerous substances , fissionable materials on it , '' Gladyshev said to Tass . `` The enterprise 's personnel left the premises when the submarine caught fire , no one has been injured . The fire presents no threat to people and the shipyard . ''"								
gold	"Submarine is in Zvyozdochka shipyard , in northwestern Russia . No `` dangerous '' substances on the submarine , shipyard spokesman told ITAR-Tass ."								
generated	"""the rubber insulation between the submarine's light and pressure hull is on fire,"" russia's ria novosti news agency says."					russia’s ria novosti			
									
