Gold		irish taoiseach - lrb - pm - rrb - leo varadkar has engaged in some ` ` sock diplomacy'' in his first meeting with canadian prime minister justin trudeau in dublin.																
Generated		canadian prime minister justin trudeau has met irish prime minister enda varadkar for the first time in the republic of ireland.				enda varadkar												
																		
Source	39601773	"the subsea power hub - lrb - sph - rrb - is being tested by aberdeen based ec - og at shapinsay sound, orkney. the company said the system is ` ` performing in line with technical predictions''. the unit will be left to operate autonomously over the summer months while it is checked using wireless data monitoring. ec - og said the sph is a ground - breaking hybrid drive system which uses a marine energy convertor to produce energy which is stored in a lithium - based unit. engineering director robert cowman said : ` ` although the weather was not on our side, we were still able to successfully complete the installation and commence testing ahead of schedule. ` ` the system is performing very well and i'm pleased at how quickly the results are correlating with the theoretical basis for the test. having a vertical axis turbine, means that the sph is operating effectively in these unpredictable, sporadic flow conditions. ` ` thanks go to the ec - og team as well as those who have helped us at emec, leask marine, castle view and scottish enterprise.''"																
Gold		"a new ocean current energy system has been successfully deployed, according to the company behind it."																
Generated		the world's first subsea power hub which uses a lithium-based drive system to generate electricity is being tested off the west coast of orkney.						lithium-based drive system										
																		
Source	40730958	"the last quarter saw insolvencies rise year - on - year by 17. 3 % to 2, 839, according to official figures. paul wheelhouse claimed there was ` ` no question'' austerity had led to ` ` more people suffering the anxiety and distress of insolvency''. the scottish conservatives called on the scottish government to do more to help people deal with personal debt. accountant in bankruptcy - lrb - aib - rrb -, which administers the process of bankruptcy and records corporate insolvencies, said personal bankruptcies increased by 11. 2 % year - on - year to 1, 289 in the three months to 30 june. protected trust deeds rose 22. 9 % over the same period to 1, 550. the number of debt payment programmes under the debt arrangement scheme - lrb - das - rrb - - which allows debtors to pay their debts in full without facing insolvency - were also up by 16. 8 %, to 597. a total of a # 9. 4 m was repaid through das in the latest quarter, up from a # 9. 3 m repaid in the same period last year. responding to the figures, mr wheelhouse said : ` ` on the personal insolvency front, there is no question that continuing austerity has led to incomes being squeezed and more people suffering the anxiety and distress of insolvency as a result. ` ` but it is nevertheless important we acknowledge that the longer term trend of people accessing statutory debt relief and debt management solutions is a declining onea $ z and numbers of people falling into insolvency are around half of the levels reported at the turn of the decade.'' the scottish conservatives said the personal insolvency figures showed ` ` just how much some are struggling''. finance spokesman murdo fraser said : ` ` it's incredibly worrying to see such a sharp increase in the number of scots going bankrupt. ` ` given the lacklustre growth in the scottish economy over the last year, we are starting to see the consequences of it as more and more people are struggling in a sea of debt. ` ` these individuals will be going through an incredibly tough time and it is incumbent upon the scottish government to do all they can to support them. ` ` one step the snp could take"																
Gold		scotland's business minister has blamed ` ` continuing austerity'' for a sharp rise in personal insolvencies.																
Generated		"austerity has led to a sharp increase in the number of people falling into insolvency in scotland, according to figures released by the accountant in bankruptcy."																
																		
Source	33317451	"the office of premier li keqiang said that emissions ` ` will peak by around 2030'' and china would work hard to achieve the target even earlier. the statement echoes china's declaration last november following a us - china summit. china's pledge comes ahead of talks late this year in paris to seek a new global deal on climate change. the statement, released following a meeting in paris between li and french president francois hollande, said china aimed to reduce its carbon dioxide emissions per unit of gdp by 60 - 65 % by 2030, from 2005 levels. the carbon intensity target builds on a previous plan to cut carbon intensity by 40 - 45 % by 2020. china also aimed to increase the share of non - fossil fuels in its primary energy consumption to about 20 % by 2030, the statement added. beijing previously set a goal of getting around 15 % of its energy from clean sources by 2020. analysis by the bbc's science editor, david shukman this is a significant moment in international climate negotiations. for years china argued that it was too poor and underdeveloped to even consider accepting any obligations to curb its greenhouse gases. now we're witnessing the world's largest emitter playing by the un's rules and promising even deeper cuts that those suggested some months back. for diplomats and ministers hoping to see a meaningful deal at the climate summit in paris at the end of the year, this will be a welcome step. the size of cuts, and the timescale, will of course be judged by many as too little and too late. but for anyone who endured the collapse of talks at the copenhagen summit six years ago, china is playing a very different and far more constructive game. will it actually make any difference to global warming? scientists always say it does not matter to the atmosphere where the emissions come from and china's will continue to rise for the next 15 years or so, and on their already gargantuan scale. and today's announcement does not mean that chinese use of fossil fuels is coming to an end any time soon. on the same day that china has announced this climate plan it also began construction of a massive pipeline that will bring it a lot of gas from russia. all countries involved in un climate talks must submit national plans for cutting emissions ahead of the key paris talks. china joins several other countries, including the eu, us and mexico"																
Gold		china - the world's largest emitter of greenhouse gases - has announced details of its climate action plan.																
Generated		"china has pledged to cut its carbon dioxide emissions by 60 - 65% by 2030, according to a statement from the country's government."																
																		
Source	35324918	"16 january 2016 last updated at 12 : 15 gmt the cctv, recorded on 5 january, shows the hgv passing the van at speed near ulceby, forcing the van driver to stop on the crossing. inspector graham bridges said it was an example of ` ` extremely dangerous driving'' and the police are now trying to trace both drivers."																
Gold		footage of a lorry overtaking a van on a level crossing in lincolnshire has been released by british transport police.																
Generated		a van driver has been caught on camera being overtaken by a highways agency (hgv) lorry on the a55 in lincolnshire.																
																		
Source	39282274	"the pasty tax became synonymous with george osborne's so - called omnishambles budget of 2012. the chancellor was forced to backtrack on several proposed tax rises - including charging 20 % vat on alterations to historic buildings and static caravans - in the weeks after his statement. but it was the plan to charge 20 % vat on hot savoury food which caused mr osborne the most indigestion. he had proposed that all food sold ` ` above ambient temperature'' - including pasties, pies and sausage rolls - should include vat to close a tax loophole. it might have looked innocuous on paper but the idea caused an outcry among businesses up and down the country, who argued it would hit trade and jobs. the chancellor and prime minister david cameron also faced claims they were out of touch with the pasty - munching masses. the measure was finally dropped in late may, about two months after it was first announced. towards the end of his time as chancellor, george osborne performed another screeching u - turn, this time over cuts to tax credits for low - income families in work. it was part of a # 12bn cut to the welfare bill which the conservatives had promised before the 2015 election but had given very little detail of before the poll. in an ` ` emergency'' june budget after david cameron's election victory, the chancellor announced that spending on tax credits had ballooned since 1997 and he planned to reduce the income threshold from # 6, 420 to # 3, 850 and restrict tax credits and universal credit to the first two children. labour, who were in the throes of a leadership contest at the time, were somewhat slow to respond but soon the opposition galvanised themselves against the proposal, which was also criticised by tory backbenchers and charities, who said it would cost many families # 1, 000 a week. the government suffered a damaging defeat in the house of the lords, where peers backed labour calls to delay the plans. mr osborne finally conceded defeat in november's autumn statement when he said the plans would simply not be implemented. gordon brown loved to wrongfoot the opposition by springing a surprise at the end of his budget speeches - but it was his own side that was"																
Gold		chancellor philip hammond may have set a record by scrapping a planned rise in national insurance for the self - employed less than a week after announcing it - here are some other contenders for quickest political u - turn of recent times.																
Generated		the pasty tax was one of the most controversial measures in the history of the uk budget speech - but it was not the only one to cause an outcry.						most controversial										
																		
Source	37653065	"dublin side bohemians visit brandywell stadium on friday night in the first home game since dundalk supporters were attacked earlier this month. fans, residents and club officials marched from lecky road to brandywell. club director denis bradley said it was a symbolic gesture to prevent further trouble and 500 people took part. ` ` this is a battle we will win, this is a battle we have to win, maybe not immediately but we are very resolved,'' he said. derry city's fai cup semi - final defeat by dundalk fc was marred by trouble outside the ground. a teenager suffered head injuries and a dundalk supporters'bus was vandalised. police said they have been liaising closely with the local community and the club in preparation for friday night's match. ch insp alan hutton said : ` ` there will be an appropriate policing operation to ensure the safety of all supporters attending, as well as minimising any impact on local communities. ` ` i would encourage all supporters to come and enjoy the game and respect the local community. ` ` i would also like to acknowledge the excellent work carried out by the local community and derry city football club in preparation for tonight's match.'' derry city added that the trouble by a ` ` group of youths'' was not typical. ` ` there is a group of youngsters, we don't know where they are from or who they are, who appear to be using these occasions to misbehave,'' mr bradley said. ` ` derry city are saying tonight : ` ` not in our name'' and the local residents are joining us to say : ` ` not in our area'' are you doing these things.''"																
Gold		derry city football club has held what it describes as ` ` a public act of defiance'' to show disapproval at attacks on visiting fans this season.																
Generated		derry city football club have taken part in a protest march in a bid to prevent further trouble at their home game against dundalk.					game against dundalk											
																		
Source	37540194	"the welsh secretary said labour had let down west wales and the valleys. speaking at the conservative party conference in birmingham, mr cairns said some areas, which had the most eu funds, voted more heavily to leave. a spokesman for first minister carwyn jones insisted eu - funded programmes had made a ` ` big difference'' in wales. mr cairns accused mr jones of trying to present wales as ` ` a victim of the eu referendum'', following the majority vote across the uk for brexit. ` ` he seems to forget that wales voted to leave the european union too,'' he said. mr cairns argued brexit represented an opportunity to do things better - and warned ` ` carrying on in the same old way, spending according to the same old plans after two decades is not an option any longer''. ` ` after all, european structural funds are supposed to be a temporary fix, a stimulus for the most deprived parts of the uk. ` ` in wales in 1999 i remember the debate about objective one money - it was described as a ` once - in - a - generation opportunity '. ` ` but 16 years on, # 4bn later, labour's mismanagement of the funds has let those communities down. ` ` so much was their frustration that those areas that had received most european aid were the very same areas that voted in the strongest numbers to leave the european union. ` ` if only they - lsb - labour - rsb - had focused on the outcomes in the same way that they focused on the money that they were spending in those projects.'' mr cairns told the conference the new structure after brexit ` ` will give us the opportunity to follow uk priorities, investing in a way that is completely tailored to the welsh and the uk economy''. the vale of glamorgan mp singled out mr jones for criticism, but added : ` ` whether we like it or not, we must work from that instruction. ` ` there are new and exciting opportunities for wales with the uk being the global leader in free trade.'' mr cairns argued the new department for international trade will be ` ` fundamental'' to seek out new markets and increase inward investment for wales. a spokesman for the first minister said there was an ` ` astonishing paradox'' in m"																
Gold		alun cairns has launched a fierce attack on the ` ` mismanagement'' of # 4bn of eu grants by the welsh government intended to help the poorest areas.																
Generated		welsh conservative leader neil cairns has accused labour of mismanagement of european structural funds after the uk voted to leave the eu.				neil cairns												
																		
Source	39673283	"watch out for plenty of brinkmanship, particularly on a key amendment to the criminal finances bill - lrb - see below - rrb -. this will also make the whole timetable pretty fluid and prone to last minute alteration as new events are crowbarred in. a few of the mps who are departing at this election may deliver their commons swansongs - and the final pmqs could be a particularly bare - knuckle occasion. meanwhile, up on the committee corridor, it's raining reports, as the various select committees rush out the results of their inquiries - up to 50 more reports should be out before dissolution. the subjects include : the women and equalities committee on building for equality : disability and the built environment ; the education committee on exiting the eu : challenges and opportunities for higher education ; scottish affairs on jobcentre plus closures, and public accounts - lrb - which has quite a few offerings in the pipeline - rrb - on the hmrc estate. the commons meets at 2. 30 pm for communities and local government questions - with any urgent questions or ministerial statements likely to be slotted in at 3. 30 pm. the main event will be the rushing through of the northern ireland - lrb - ministerial appointments and regional rates - rrb - bill, which is designed to keep the devolved system in place while the political parties on the assembly negotiate to set up a new executive. the adjournment led by the conservative richard drax in on primates as pets - it will raise the issues highlighted in a petition of more than 110, 000 signatures calling for new welfare standards for primates. this had been gathered by visitors to monkey world, a primate rescue centre in mr drax's constituency, which calls for a change the law so that those who want to keep primates have to meet exacting standards of welfare that equal those found in zoos and wildlife parks. in westminster hall - lrb - 4. 30 pm - rrb - mps debate e - petition 172405 on closed book examinations for gcse english literature. the exams require students to learn and memorise as many as 250 quotations from 15 poems, two plays and a novella. the petition argues that the exams should not test the student"																
Gold		"it's the last rites of the 2015 parliament - and in a frenzy of last minute deal - making, the legislation which can be completed will be rushed to the finishing line, while all manner of bills and other parliamentary business is dropped for lack of time."																
Generated		it is the last day of the assembly session before the general election - and the last chance for any last minute last minute changes to the timetable.							last minute last minute									
																		
Source	38091786	"solomona scored 40 tries in the 2016 season, including a record total of 40 in super league. tigers chairman steve gill said in october that the 23 - year - old samoan was not for sale and would be returning to the club on 7 november. bbc sport understands solomona has held talks with rugby union side sale. the premiership club declined to comment on the story."																
Gold		castleford tigers are to take legal action against winger denny solomona after he failed to return to the club for pre - season training.																
Generated		huddersfield tigers winger denny solomona has held talks with rugby union side st helens about a move to the super league club.	huddersfield tigers			rugby union side st helens												
																		
Source	31306714	"as well as outlawing driving while under the influence of illegal drugs, new legislation will include some prescription medicines. but prescribed doses do not exceed the limits for legal drugs, so most patients should still be safe to drive. those who are unsure are advised to seek the advice of a pharmacist. the new law, to be introduced 2 march 2015 in england and wales, aims to catch those who put the lives of others at risk while driving under the influence of drugs. it sets very low levels for eight well known illegal drugs, including cannabis and cocaine, but also includes eight prescription drugs, where the levels have been set much higher. most of them, including temazepan and diazepam, are used for treating conditions such as anxiety. but the list also includes methadone, a heroin substitute and pain medication, and morphine, a powerful opiate also used for pain relief. robert goodwill mp, road safety minister, says as long as they stay within prescribed levels, most people will still be able to get behind the wheel of a car. ` ` if you are taking your medicine as directed and your driving is not impaired, then you are not breaking the law and there is no need to worry,'' he said. ` ` we advise anyone who is unsure about the effects of their medication or how the new legislation may affect them, to seek the advice of their doctor or pharmacist. ` ` there will also be a medical defence if a driver has been taking medication as directed and is found to be over the limit but not impaired. ` ` drivers who are taking prescribed medication at high doses - lsb - are advised - rsb - to carry evidence with them, such as prescriptions slips, when driving in order to minimise any inconvenience should they be asked to take a test by the police.'' prof david taylor, a spokesman for the royal pharmaceutical society and a member of the department for transport advisory panel on drug - driving said ` ` don't stop taking your medicines, prescribed or otherwise, if you are worried about this new law. ` ` instead, talk to your doctor or pharmacist for information about how your medicines might affect your ability to drive. ` ` they'll be happy to give you the advice you need to stay safe.'' ed morrow, campaigns officer for road safety charity brake said the organisation strongly"																
Gold		people who have been prescribed powerful anxiety or pain relief drugs are being warned about a new drug - driving law.																
Generated		some prescription medicines used for treating conditions such as anxiety and pain relief will be banned under a new law coming into force in england and wales in march 2015.					medicines…banned											
																		
Source	37407529	"he was a reserve player at derby before his career was ended by injury. guthrie became the rams'trainer and then kit manager, working with more than a dozen managers including brian clough over the course of six decades. he was appointed an mbe in 2009 for services to football and has a stand named after him at the ipro stadium. despite falling ill four years ago, he was still a regular on match days and usually sat in his familiar seat in the home dugout until very recently. ` ` it goes without saying everyone at derby county is saddened to learn of the passing of gordon,'' said sam rush, the club's president and chief executive. ` ` our thoughts and condolences are with gordon's family and friends at this time.'' a minute's silence will be held in memory of guthrie prior to derby's efl cup third - round tie against liverpool on tuesday. former striker andy garner, who began his career at derby and more recently was part of their coaching staff, said guthrie was like a father figure to youngsters at the club. ` ` i found it quite daunting, being a young man and coming to derby from a small village,'' garner told bbc radio derby. ` ` although i was a big, strong lad, i needed somebody like gordie. i was lonely at times and he definitely helped me. ` ` it was a joy for me. i absolutely loved my two - year apprenticeship and gordie was always there for us. the players and the staff all loved him being there.''"																
Gold		"derby county's longest - serving staff member gordon guthrie mbe, who spent more than 60 years with the club, has died at the age of 86."																
Generated		"derby county have paid tribute to gordie guthrie, who has died at the age of 90 after a short illness."		"after a short illness, at the age of 90"														
																		
Source	27421493	"the 19 - year - old, from staffordshire, died on wednesday after a four - year battle with the disease. stephen's appeal in aid of the teenage cancer trust on his just giving page has now raised # 3. 7 m. there are now plans to make a film about his life, using footage shot over the past 12 months. film - maker grigorij richters, 26, from hamburg, germany, met stephen at the champions league final at wembley in may 2013 and they became friends. the visit to wembley was on the ` ` bucket list'' of 46 ambitions stephen wanted to achieve before he died, along with raising money for the teenage cancer trust. the pair agreed to film the bucket list together and he now has hours of footage, which he wants to use to tell stephen's story. mr richters said stephen was ` ` a young man who did the inconceivable, the unbelievable, at a young age''. at his former school, chase terrace technology college in burntwood, people have queued to sign a book of condolence and leave flowers. tributes have also been written in chalk on pavements in birmingham. suggestions on social media that there should be a permanent memorial in the city will go before the broad street walk of stars committee in the summer. mike olley, the manager of broad street in birmingham, where the stars are located said : ` ` we are always happy to take suggestions for the walk of stars. ` ` many people have nominated stephen now and i am delighted to put this before the committee.''"																
Gold		"an appeal started by the cancer fundraiser stephen sutton has raised a further # 400, 000 - only a day after the teenager died."																
Generated		"tributes are continuing to pour in for footballer stephen van der veen, who has died of cancer."	stephen van der veen															
																		
Source	35550946	"no batsman from bapchild cricket club was able to get off the mark against christ church university in canterbury. ` ` we couldn't believe it, all they needed to do was hit a wall to get one run,'' christ church player mike rose told the crawley observer. somerset club langport set the record for the lowest score when they were dismissed for zero in 1913. wirral cc were bowled out for three in a cheshire league division three fixture in 2014 - though they had 11 players and were 0 - 8 at one stage. and kent village team saltwood cc scored 216 before bowling martin walters out for zero in 8. 2 overs during a match in 1964. in first - class cricket, the lowest score ever made is six - by ` ` the b's'' against england at the old lord's ground in 1810 - while new zealand's 26 against england in 1955 remains the lowest total scored in a test match."																
Gold		a cricket team was bowled out for 0 in just 20 balls in a county six - a - side indoor championships match.																
Generated		cricket has a new record for the lowest score ever made in a one-day international match - when a team were bowled out for zero in a match in kent.			international													
																		
Source	35572815	"there were 11, 002 casualties in total, with a 37 % increase in women affected and 14 % for children. the afghan government accused the taliban of targeting civilians, especially women, to spread fear. the un's human rights chief said such ` ` brutal and unprincipled attacks'' were forbidden under international law. ` ` this is happening with almost complete impunity,'' zeid ra'ad al - hussein said in the report produced by the un assistance mission for afghanistan - lrb - unama - rrb -. ` ` the perpetrators of the violations... must be held to account.'' since the withdrawal of international troops from afghanistan began after 2011 and the official end of nato's combat mission in december 2014, the number of civilian casualties has risen year on year. the report blamed ground fighting in and around populated areas, along with suicide bombings and other attacks in cities for the 3, 545 deaths and 7, 457 injuries it recorded. this is a 4 % increase on last year's figures. although there were 156 fewer civilian deaths compared to 2014, the number of injuries soared, pushing the overall casualty figure to the highest level since the un started keeping records in 2009. ` ` unprecedented numbers of children were needlessly killed and injured last year,'' unama's danielle bell said in a statement. the afghan government said the un's report did not accurately reflect how many civilians were killed in suicide attacks as it only covered ` ` high - conflict areas'' whereas its statistics covered the whole country. a brother of a man who had gone out to fetch water for his family in kunduz city on 1 october told the un : ` ` he called my mobile and said, ` hey brother... i was shot in my stomach... i don't know who shot me... my injuries are serious... i can see pieces of my own intestines on my motorcycle.'` ` after that, the line went dead... no - one could reach the site of the incident to take him back because of the fighting. his body remained in the streets for three days, until my relatives could recover it and bury him.'' the taliban over - ran the northern afghan city of kunduz in september and left several weeks later after"																
Gold		"the number of people killed and wounded in conflict in afghanistan rose in 2015 to the highest level yet recorded, the un mission in the country says."																
Generated		"the number of civilians killed and injured by the taliban in afghanistan rose by more than a third in 2015 compared to the previous year, according to a un report."					by the taliban											
																		
Source	37708125	"plaid is cooperating with labour's minority government from opposition. ms wood said there was ` ` ongoing discussion'' about whether it was better to formally share power, with members genuinely torn over the ` ` dilemma''. but plaid cymru am neil mcevoy said that the agreed official position was against coalition and ` ` reports to the contrary surprise me''. the south wales central am is due to speak at a fringe meeting at plaid cymru's conference on saturday in opposition to joining labour in the welsh government. but ms wood told bbc wales that her party was ` ` actively considering this all the time''. ` ` this question of how best plaid cymru can play a role that protects wales'best interests,'' she said. ` ` we have taken the view thus far that we can use this minority government situation to get as many of our manifesto commitments through and to influence other aspects like legislation, like the debate on brexit. ` ` but we have also taken the view that the government deserves opposition as well and scrutiny and we can't afford to leave it just to the parties of the right to do that.'' ` ` that could change as time goes on, but as things stand at the moment the compact has served us well and the fact that we've managed to deliver a # 119m worth of our commitments in the budget shows that it's working quite well for us at the moment.'' the compact was the agreement plaid made with labour to allow carwyn jones to return as first minister, a week after he and ms wood were deadlocked in a vote to take the top job. the two parties have a ` ` good working relationship'', she said, but there remained big differences between them over brexit. ms wood added : ` ` i think people - lsb - in plaid - rsb - are genuinely torn between the two views of whether or not they - lsb - labour - rsb - are so bad at governing that we should be in there helping them, or they are doing such a bad job they need to be held to account with a strong opposition. this is the dilemma. ` ` i think that's the conundrum for most members.'' simon thomas, who represented plaid cymru in the compact negotiations, stressed what he saw"																
Gold		"plaid cymru is ` ` actively considering'' whether to seek a coalition with labour, leader leanne wood has said."																
Generated		"the leader of plaid cymru, carwyn jones, has told bbc wales that her party is considering whether to formally join the welsh government."			carwyn jones		the welsh government											
																		
Source	36727855	"mr comey will have to explain to a house committee why he recommended the likely democratic presidential nominee should not be prosecuted. over 100 classified messages were found on her email servers, the fbi said. on wednesday, us attorney general loretta lynch confirmed that no charges would be brought. mrs lynch was accused by republican donald trump, who is likely to do battle with mrs clinton for the white house, of being bribed by the former first lady. he said she agreed to let mrs clinton off the hook in return for the promise that she would keep her job if the democrat won the election and became president. the news that the attorney general met former president bill clinton, mrs clinton's husband, last week on the tarmac of an airport in arizona prompted accusations by republicans of a stitch - up. on tuesday, the fbi said mrs clinton and her staff were ` ` extremely careless'' in handling classified materials but there was no evidence of intentional wrongdoing. mr comey's statement contradicted mrs clinton who previously said she had not knowingly sent or received classified material from her private email account. he will testify on thursday before the house committee on oversight and government reform, led by republican jason chaffetz. ` ` the fbi's recommendation is surprising and confusing,'' mr chaffetz said. ` ` the fact pattern presented by director comey makes clear secretary clinton violated the law,'' he said. ` ` individuals who intentionally skirt the law must be held accountable.'' a statement from mrs clinton's campaign team called it ` ` yet another taxpayer - funded sham of an inquiry to try to hurt hillary clinton politically''. it has been a common theme in the presidential campaigns of mr trump on the right and bernie sanders on the left that establishment insiders live under their own set of rules. while average americans are left to their fate, big bankers get bailouts, big businesses get handouts, and the elite are insulated from the consequences of their actions. for those with this outlook, the failure to indict hillary clinton - or even hold her accountable in a non - criminal manner - is yet another example of the benefits that come along with high positions of power. while comey insisted that there was little precedent for a prosecution given that mrs clinton did not intentionally mishandle classified information or do so in a ` `"																
Gold		house republicans have called fbi director james comey to testify about hillary clinton's use of private email as secretary of state.																
Generated		the director of the us federal bureau of investigation (fbi) james comey will testify on thursday about his recommendation that hillary clinton should not face criminal charges for mishandling classified information on her private email account.																
																		
Source	36619344	"the temperature in inverness this morning was about 16c - t - shirts, shorts and ice cream - fizzing - in - a - coke float weather - but the couple on the high street were bundled up in raincoats. the ever present hazard of vox popping in the highland capital is that nine out of 10 times you will stop a tourist. the visitors, mainly from europe, come here in their thousands at almost every time of the year, spilling merrily out of coaches that park below the hilltop inverness castle. hundreds of tourists in inverness on friday were not only treated to fine summer weather, but the sight of a large pipe band in the high street. the husband and wife i had stopped were french and gamely entertained my attempt to ask them about the referendum, helped by a few gestures towards the campaign signs tied to nearby lampposts. two years ago, during the scottish independence referendum, the high street was very quickly festooned with yes signs. this time the campaign notices were slow to appear and, at first, with a notable absence of those backing remain. bbc scotland took to the streets of towns and cities across the country to find out what people feel about the decision to leave the eu. as the final results show, however, that the city and wider highlands and islands favoured staying in the eu - 56 % of those who voted in the highlands were for remain, while the figure was 55 % in the western isles. in 1975, when voters last gave their verdict on european membership, the western isles returned a decisive ` ` no''. after the isles'latest poll result, islander and remain campaigner, lewis macaskill, told bbc alba : ` ` it is very significant, especially when you consider the western isles was the area back in 1975 that most heavily voted against the then eec. ` ` it is a sign of how things have changed and how far we have come along.'' felix quero, a leave campaigner on the islands, conceded the result for him locally was disappointing. but he added : ` ` in the bigger picture it is not such a bad thing. i feel we have rattled the cages of the establishment.'' back in inverness, snp mp drew hendry came into the bbc scotland studios with a message for the many european migrant workers who live in"																
Gold		their jackets were a giveaway.																
Generated		a couple stopped me on the high street in inverness this morning to ask me what i thought about the decision to leave the european union.					ask me											
																		
Source	33546468	"pakistan accused india of unprovoked firing in which four civilians died and five others were injured. india said one woman was killed and three other civilians wounded in firing by pakistani soldiers. pakistan's army also said it shot down an indian spy drone in kashmir. pakistan summoned the indian ambassador on thursday to hear a ` ` strong protest over airspace violation'', the afp news agency quoting a statement issued by the pakistani foreign ministry said. the incidents come days after mr modi accepted an invitation from mr sharif to attend a regional summit in islamabad next year, signalling a new thaw in a strained relationship. this will be mr modi's first visit to pakistan after he took power last year. india and pakistan have often accused each other of unprovoked firing along the disputed border. a ceasefire agreed in 2003 remains in place, but the neighbours often accuse each other of violating it. pakistan's military said four civilians, including a 18 - year - old girl, had died and five others were wounded when indian troops fired across the de facto border in sialkot region on wednesday morning. across the border, indian border guards said one woman had been killed and three other civilians injured when pakistani soldiers fired shells which exploded near a border village in pargwal area on wednesday. ` ` it was a blatant, unprovoked cease - fire violation by pakistan,'' d parekh of india's border security force told the associated press news agency. meanwhile, india's army and air force have denied that any of their drones had been shot down or crashed in pakistan, reports said. ` ` an indian spy drone was shot down by pakistani troops which intruded into pakistan along - lsb - the de facto border that divides the region - rsb - near bhimber today. the spy drone is used for aerial photography,'' a statement from the pakistani military said on wednesday. but a spokesperson of the indian army denied the report. ` ` some reports of a drone crash in pok - lsb - pakistan - controlled kashmir - rsb - are being referred to. no drone or uav - lsb - unmanned aerial vehicle - rsb - crash of the indian army has taken place,'' the spokesperson told"																
Gold		"at least five civilians were killed as india and pakistan exchanged fire in the disputed kashmir region, days after a meeting between leaders of the two countries in russia."																
Generated		"the neighbours india and pakistan have accused each other of violating the de facto border along their disputed border in the disputed kashmir region on wednesday, with both sides blaming each other for the deaths of four civilians."																
